in,jn,x,y,qc,tc,te,tl
2,52,41.4005256,2.1171344,-22,5,129,240
3,53,41.3940602,2.1909486,-20,5,0,92
4,54,41.4213772,2.0862707,-147,5,116,236
5,55,41.4222707,2.1332331,-73,5,117,237
6,56,41.4364011,2.1889356,-158,5,0,85
7,57,41.397972,2.173438,-135,5,151,240
8,58,41.4322,2.161247,-127,5,49,169
9,59,41.4100985,2.1882235,-136,5,73,193
10,60,41.4321545,2.1850842,-178,5,52,172
11,61,41.3982533,2.176878,-55,5,32,152
12,62,41.4353163,2.0893326,-153,5,84,204
13,63,41.3949122,2.1326992,-82,5,50,170
14,64,41.441819,2.173046,-144,5,0,85
15,65,41.3969121,2.1219519,-66,5,0,80
16,66,41.4028961,2.1070003,-88,5,0,76
17,67,41.4220281,2.1764157,-155,5,42,162
18,68,41.3810435,2.1886772,-136,5,0,83
19,69,41.3928931,2.1526172,-129,5,126,240
20,70,41.4425236,2.1743066,-169,5,30,150
21,71,41.3885969,2.1812088,-93,5,0,113
22,72,41.3980918,2.1731974,-61,5,0,117
23,73,41.4287696,2.0955844,-59,5,47,167
24,74,41.4341868,2.165297,-55,5,136,240
25,75,41.4245778,2.1560731,-173,5,38,158
26,76,41.3889264,2.179601,-165,5,128,240
27,77,41.4189594,2.1490961,-180,5,0,240
28,78,41.4192779,2.1490099,-13,5,49,169
29,79,41.3853428,2.1717019,-113,5,82,202
30,80,41.3956056,2.1729657,-72,5,0,104
31,81,41.4248743,2.1559692,-164,5,0,109
32,82,41.3971323,2.1234366,-54,5,0,113
33,83,41.4419355,2.1900892,-176,5,19,139
34,84,41.4346095,2.1562908,-61,5,0,113
35,85,41.433422,2.1844124,-177,5,28,148
36,86,41.3984317,2.1789387,-88,5,0,77
37,87,41.4293886,2.1764651,-49,5,144,240
38,88,41.426906,2.1846554,-173,5,96,216
39,89,41.3878593,2.1779906,-39,5,0,240
40,90,41.4307465,2.1625141,-146,5,12,132
41,91,41.3867214,2.1735381,-55,5,0,72
42,92,41.4169553,2.2160325,-74,5,18,138
43,93,41.4331454,2.1891124,-142,5,0,84
44,94,41.3625033,2.0729661,-57,5,53,173
45,95,41.3822698,2.1380249,-36,5,39,159
46,96,41.379611,2.0896482,-104,5,67,187
47,97,41.3971602,2.1958825,-21,5,136,240
48,98,41.4225658,2.0972606,-34,5,0,94
49,99,41.4127397,2.1813029,-57,5,0,240
50,100,41.3896349,2.1046252,-14,5,48,168
51,101,41.4498424,2.2078273,-179,5,75,195
52,2,41.3974743,2.1279911,22,5,137,237
53,3,41.4126662,2.1602056,20,5,13,133
54,4,41.3900288,2.1171719,147,5,138,236
55,5,41.4428912,2.2148512,73,5,143,224
56,6,41.4413083,2.2066485,158,5,11,131
57,7,41.4223305,2.1818941,135,5,162,227
58,8,41.4247417,2.1713117,127,5,58,178
59,9,41.3701939,2.0580908,136,5,107,227
60,10,41.4311984,2.1874359,178,5,59,179
61,11,41.3924575,2.1679515,55,5,41,161
62,12,41.3940707,2.180672,153,5,109,228
63,13,41.4036466,2.1993405,82,5,68,188
64,14,41.4076835,2.1752899,144,5,14,134
65,15,41.3924431,2.1049203,66,5,10,130
66,16,41.356051,2.0693661,88,5,19,139
67,17,41.4412831,2.2009576,155,5,57,177
68,18,41.3916346,2.187715,136,5,10,130
69,19,41.4017892,2.2067204,129,5,144,223
70,20,41.3257163,2.0906734,169,5,59,179
71,21,41.3841474,2.0518609,93,5,34,154
72,22,41.4057768,2.153916,61,5,11,131
73,23,41.4033233,2.1561137,59,5,67,187
74,24,41.3967493,2.1121922,55,5,152,236
75,25,41.3655614,2.0530194,173,5,64,184
76,26,41.4379933,2.179235,165,5,146,227
77,27,41.4230131,2.1523727,180,5,0,240
78,28,41.3962954,2.150951,13,5,61,181
79,29,41.3649884,2.1265837,113,5,97,217
80,30,41.4502192,2.0782924,72,5,32,152
81,31,41.4318985,2.1630153,164,5,11,131
82,32,41.4026188,2.1757999,54,5,16,136
83,33,41.4322465,2.1634984,176,5,30,150
84,34,41.3821056,2.1760972,61,5,24,144
85,35,41.4036735,2.1621266,177,5,43,163
86,36,41.3586442,2.1006182,88,5,22,142
87,37,41.3853517,2.1553685,49,5,160,232
88,38,41.4436071,2.1807691,173,5,108,228
89,39,41.3622879,2.108725,39,5,0,240
90,40,41.3844206,2.1405284,146,5,36,156
91,41,41.4523147,2.2257045,55,5,93,213
92,42,41.4000988,2.1630644,74,5,35,155
93,43,41.3725447,2.1228575,142,5,31,151
94,44,41.4244386,2.1906025,57,5,84,204
95,45,41.3234277,2.0881395,36,5,59,179
96,46,41.449888,2.2368223,104,5,100,220
97,47,41.4395572,2.2190166,21,5,157,222
98,48,41.39414,2.1390699,34,5,18,138
99,49,41.4286146,2.2336363,57,5,0,240
100,50,41.3986054,2.1616763,14,5,65,185
101,51,41.3797019,2.1698838,179,5,100,220
