in,jn,x,y,q,tc,te,tl
2,52,41.3168101,2.0979811,-18,15,304,424
3,53,41.3114838,2.0724685,-46,15,316,436
4,54,41.4003313,2.1214845,-57,15,0,71
5,55,41.4187342,2.1388705,-49,15,215,335
6,56,41.4104445,2.1819217,-18,15,113,233
7,57,41.3780345,2.1612174,-60,15,140,260
8,58,41.3879934,2.1406373,-30,15,281,401
9,59,41.4432438,2.1780735,-14,15,360,480
10,60,41.3990977,2.1407146,-54,15,217,337
11,61,41.4237216,2.1637551,-16,15,165,285
12,62,41.370429,2.0981744,-56,15,61,181
13,63,41.4059939,2.1562849,-25,15,150,270
14,64,41.4039242,2.1445631,-58,15,74,194
15,65,41.3582557,2.0984234,-58,15,292,412
16,66,41.3955765,2.1251938,-27,15,56,176
17,67,41.4522655,2.215735,-39,15,0,480
18,68,41.4216365,2.174794,-35,15,324,444
19,69,41.4551917,2.1772256,-39,15,0,117
20,70,41.3548443,2.0961581,-38,15,134,254
21,71,41.4504623,2.0756866,-51,15,237,357
22,72,41.3738369,2.1565588,-54,15,238,358
23,73,41.4527251,2.22645,-58,15,116,236
24,74,41.4177431,2.2102114,-21,15,236,356
25,75,41.448413,2.2076611,-57,15,146,266
26,76,41.4114545,2.2174514,-41,15,84,204
27,77,41.46703,2.0506345,-16,15,135,255
28,78,41.4528503,2.2036413,-21,15,3,123
29,79,41.4230221,2.1735166,-54,15,0,85
30,80,41.4050391,2.1628617,-36,15,180,300
31,81,41.461637,2.2077935,-10,15,42,162
32,82,41.3716365,2.1175008,-35,15,0,480
33,83,41.4078956,2.1602818,-37,15,255,375
34,84,41.4164718,2.1338561,-55,15,369,480
35,85,41.3730561,2.1692521,-20,15,29,149
36,86,41.4559568,2.2105857,-29,15,180,300
37,87,41.3602348,2.1417299,-11,15,53,173
38,88,41.4151236,2.1791201,-56,15,0,76
39,89,41.3514151,2.0687622,-13,15,218,338
40,90,41.3803361,2.1726215,-34,15,316,436
41,91,41.3966977,2.1209443,-36,15,63,183
42,92,41.366613,2.1253745,-12,15,173,293
43,93,41.4403776,2.1896693,-45,15,139,259
44,94,41.3929863,2.1404578,-31,15,277,397
45,95,41.4314657,2.1414476,-35,15,43,163
46,96,41.3953243,2.1936779,-45,15,59,179
47,97,41.4484207,2.2071184,-28,15,0,480
48,98,41.3755051,2.1466273,-58,15,122,242
49,99,41.3730639,2.0917621,-46,15,0,89
50,100,41.4504497,2.2201748,-13,15,243,363
51,101,41.3601468,2.0960645,-33,15,66,186
52,2,41.4496351,2.1898865,18,15,344,464
53,3,41.3787087,2.1652367,46,15,348,468
54,4,41.4138564,2.1621067,57,15,25,145
55,5,41.4391585,2.218662,49,15,246,366
56,6,41.3979044,2.0779735,18,15,151,271
57,7,41.4462706,2.0719698,60,15,173,293
58,8,41.3979364,2.1950442,30,15,308,428
59,9,41.3805962,2.175177,14,15,390,472
60,10,41.3836649,2.1649912,54,15,238,358
61,11,41.3690964,2.056709,16,15,201,321
62,12,41.4503699,2.2046609,56,15,214,334
63,13,41.4257244,2.1771053,25,15,173,293
64,14,41.399606,2.1509824,58,15,92,212
65,15,41.3842708,2.1530442,58,15,321,441
66,16,41.367349,2.0990245,27,15,81,201
67,17,41.4117575,2.1848994,39,15,0,480
68,18,41.4281192,2.1328546,35,15,349,469
69,19,41.4018962,2.1724332,39,15,35,155
70,20,41.3282033,2.0987346,38,15,160,280
71,21,41.4320888,2.1555042,51,15,271,391
72,22,41.4134127,2.1827817,54,15,264,384
73,23,41.3689778,2.1335656,58,15,157,277
74,24,41.4253983,2.162611,21,15,264,384
75,25,41.3667935,2.1261419,57,15,184,304
76,26,41.33109,2.0932829,41,15,119,239
77,27,41.3602302,2.0891819,16,15,176,296
78,28,41.4017883,2.1772171,21,15,30,150
79,29,41.4327607,2.2052925,54,15,23,143
80,30,41.467788,2.084533,36,15,215,335
81,31,41.3780171,2.1175471,10,15,76,196
82,32,41.4581267,2.0591767,35,15,0,480
83,33,41.4081168,2.1596901,37,15,272,392
84,34,41.3738232,2.1252543,55,15,395,473
85,35,41.4348352,2.1782147,20,15,60,180
86,36,41.4091874,2.1855491,29,15,207,327
87,37,41.4290328,2.1679667,11,15,90,210
88,38,41.3824926,2.1903913,56,15,27,147
89,39,41.3715569,2.1018881,13,15,242,362
90,40,41.3963735,2.1440537,34,15,338,458
91,41,41.4467808,2.211757,36,15,97,217
92,42,41.3600793,2.0732472,12,15,200,320
93,43,41.4025982,2.2074566,45,15,164,284
94,44,41.4488532,2.2154732,31,15,309,429
95,45,41.4264267,2.1746658,35,15,186,306
96,46,41.431503,2.2248695,45,15,84,204
97,47,41.331671,2.1288442,28,15,0,480
98,48,41.4544552,2.217339,58,15,158,278
99,49,41.4244223,2.191446,46,15,36,156
100,50,41.3736448,2.121535,13,15,279,399
101,51,41.4248743,2.1559692,33,15,99,219
