in,jn,x,y,q,tc,te,tl
2,52,52.413874,13.2743673,-26,10,31,151
3,53,52.5748552,13.2860779,-14,10,184,304
4,54,52.4935977,13.3516424,-30,10,245,365
5,55,52.4534743,13.518959,-21,10,187,307
6,56,52.4181558,13.2802194,-18,10,298,418
7,57,52.4756675,13.3825818,-55,10,267,387
8,58,52.4371797,13.2492545,-23,10,32,152
9,59,52.4819745,13.3420898,-45,10,110,230
10,60,52.4491198,13.3146188,-11,10,294,414
11,61,52.5744012,13.2853033,-39,10,50,170
12,62,52.4186652,13.280027,-16,10,38,158
13,63,52.5110557,13.38943,-37,10,0,480
14,64,52.4785015,13.3567117,-37,10,117,237
15,65,52.4550905,13.5148272,-39,10,0,105
16,66,52.4772336,13.379619,-34,10,42,162
17,67,52.4155368,13.3047574,-12,10,227,347
18,68,52.4187617,13.2610911,-39,10,323,443
19,69,52.4522982,13.524626,-38,10,101,221
20,70,52.5852103,13.278028,-12,10,199,319
21,71,52.5736869,13.2800149,-53,10,7,127
22,72,52.6050721,13.3156115,-53,10,136,256
23,73,52.4536106,13.5182865,-56,10,230,350
24,74,52.5883121,13.287733,-40,10,342,462
25,75,52.474369,13.3728824,-28,10,284,404
26,76,52.4653597,13.4905444,-10,10,231,351
27,77,52.4213336,13.2796896,-19,10,25,145
28,78,52.5877437,13.2873706,-36,10,23,143
29,79,52.4914259,13.3462417,-41,10,157,277
30,80,52.5724302,13.2781055,-19,10,46,166
31,81,52.4859187,13.325991,-57,10,0,480
32,82,52.4897852,13.3765046,-50,10,0,480
33,83,52.5726622,13.287035,-11,10,40,160
34,84,52.4116739,13.3234707,-40,10,222,342
35,85,52.412041,13.2674133,-34,10,302,422
36,86,52.4399927,13.5381698,-19,10,301,421
37,87,52.4390501,13.5508859,-20,10,140,260
38,88,52.4215575,13.2747434,-47,10,139,259
39,89,52.4146633,13.5825338,-29,10,287,407
40,90,52.5262265,13.6197079,-29,10,219,339
41,91,52.4330014,13.5071091,-46,10,207,327
42,92,52.4209325,13.2543297,-57,10,198,318
43,93,52.3966933,13.4083277,-14,10,223,343
44,94,52.6237293,13.2250265,-41,10,0,480
45,95,52.4288361,13.1831399,-40,10,323,443
46,96,52.6075111,13.2449348,-54,10,97,217
47,97,52.4180677,13.3499078,-11,10,98,218
48,98,52.6182518,13.3439693,-11,10,101,221
49,99,52.5581062,13.4269772,-14,10,22,142
50,100,52.5871429,13.3985901,-37,10,194,314
51,101,52.5703759,13.3586363,-52,10,0,107
52,2,52.5285879,13.1916482,26,10,76,196
53,3,52.4170104,13.2555694,14,10,231,351
54,4,52.4604839,13.5737637,30,10,289,409
55,5,52.5039991,13.3706025,21,10,221,341
56,6,52.4806761,13.3615997,18,10,324,444
57,7,52.4227846,13.3227606,55,10,296,416
58,8,52.4360753,13.299704,23,10,51,171
59,9,52.5204638,13.3351678,45,10,131,251
60,10,52.581949,13.2235521,11,10,337,432
61,11,52.5139008,13.6246148,39,10,114,234
62,12,52.4524059,13.2453277,16,10,62,182
63,13,52.5413446,13.4240694,37,10,0,480
64,14,52.4821276,13.3469768,37,10,129,249
65,15,52.5072534,13.2847956,39,10,35,155
66,16,52.4452833,13.3214931,34,10,65,185
67,17,52.5539594,13.4352615,12,10,270,390
68,18,52.4251203,13.2721962,39,10,337,437
69,19,52.4219645,13.39995,38,10,252,372
70,20,52.4432148,13.2780241,12,10,234,354
71,21,52.4677483,13.5686057,53,10,68,188
72,22,52.4164109,13.2773864,53,10,179,299
73,23,52.4797127,13.384501,56,10,259,379
74,24,52.5927188,13.2986815,40,10,357,439
75,25,52.4416916,13.5012289,28,10,309,429
76,26,52.3983678,13.4052421,10,10,263,383
77,27,52.425978,13.2235302,19,10,47,167
78,28,52.5792324,13.3013476,36,10,37,157
79,29,52.574203,13.2868853,41,10,189,309
80,30,52.5538521,13.4457874,19,10,87,207
81,31,52.4410338,13.3017564,57,10,0,480
82,32,52.4670904,13.3227136,50,10,0,480
83,33,52.5740656,13.3224441,11,10,56,176
84,34,52.5769049,13.442,40,10,274,394
85,35,52.5603732,13.1848664,34,10,347,430
86,36,52.6205986,13.3169439,19,10,356,437
87,37,52.5905504,13.2844407,20,10,309,429
88,38,52.5709675,13.2800455,47,10,179,299
89,39,52.560164,13.4675735,29,10,337,457
90,40,52.5917777,13.3638028,29,10,276,396
91,41,52.537034,13.190838,46,10,251,371
92,42,52.5238719,13.4594802,57,10,243,363
93,43,52.6001532,13.2464899,14,10,275,395
94,44,52.5801601,13.3983538,41,10,0,480
95,45,52.5372419,13.4814863,40,10,370,463
96,46,52.477616,13.5622854,54,10,157,277
97,47,52.5134501,13.1929305,11,10,149,269
98,48,52.4152528,13.356803,11,10,151,271
99,49,52.5543279,13.21572,14,10,64,184
100,50,52.4581816,13.5118887,37,10,237,357
101,51,52.5198492,13.3809132,52,10,22,142
