in,jn,x,y,qc,tc,te,tl
2,52,52.4541815,13.2964841,-128,10,34,94
3,53,52.4075604,13.6714345,-171,10,11,71
4,54,52.4502983,13.5334856,-87,10,51,111
5,55,52.4207309,13.2494763,-41,10,39,99
6,56,52.4810919,13.4342816,-71,10,32,92
7,57,52.6027244,13.4359546,-12,10,0,60
8,58,52.5278914,13.5499198,-121,10,99,159
9,59,52.4917422,13.324681,-72,10,102,162
10,60,52.5307038,13.5743774,-13,10,69,129
11,61,52.4815332,13.3422452,-65,10,103,163
12,62,52.587481,13.2279936,-37,10,49,109
13,63,52.517754,13.3168291,-40,10,0,50
14,64,52.5682525,13.4021532,-97,10,136,196
15,65,52.5707338,13.4657671,-61,10,0,240
16,66,52.5366772,13.4036827,-133,10,43,103
17,67,52.4345525,13.2970169,-147,10,38,98
18,68,52.4760661,13.6047795,-59,10,110,170
19,69,52.4520936,13.3819562,-63,10,82,142
20,70,52.5182881,13.2819664,-68,10,0,53
21,71,52.5764072,13.3798446,-40,10,121,181
22,72,52.602228,13.4252937,-134,10,81,141
23,73,52.5556754,13.4981577,-77,10,63,123
24,74,52.4260123,13.3472352,-118,10,40,100
25,75,52.5672021,13.447766,-70,10,85,145
26,76,52.4908793,13.6052158,-67,10,126,186
27,77,52.4555053,13.5136575,-106,10,18,78
28,78,52.4355581,13.4655531,-165,10,40,100
29,79,52.5264102,13.552841,-71,10,0,240
30,80,52.5355135,13.3562014,-59,10,0,240
31,81,52.5499281,13.4759722,-131,10,128,188
32,82,52.6291781,13.2675793,-90,10,96,156
33,83,52.5399511,13.556716,-15,10,103,163
34,84,52.4687957,13.3182931,-73,10,0,240
35,85,52.5414265,13.487803,-28,10,80,140
36,86,52.393181,13.3825369,-179,10,43,103
37,87,52.4267784,13.4339757,-45,10,0,58
38,88,52.4553069,13.1479339,-54,10,98,158
39,89,52.4814258,13.4318986,-94,10,0,240
40,90,52.3767285,13.6978916,-101,10,116,176
41,91,52.427643,13.5849144,-134,10,59,119
42,92,52.5920165,13.2985936,-88,10,79,139
43,93,52.5719217,13.320153,-165,10,49,109
44,94,52.5974675,13.4295338,-100,10,0,240
45,95,52.5300884,13.1471283,-138,10,125,185
46,96,52.4986875,13.6217445,-75,10,120,180
47,97,52.5086069,13.4256757,-71,10,67,127
48,98,52.4604127,13.3743475,-16,10,0,52
49,99,52.5901966,13.3814826,-19,10,118,178
50,100,52.5173045,13.496468,-108,10,21,81
51,101,52.4775319,13.531665,-101,10,8,68
52,2,52.4832348,13.3564843,128,10,54,114
53,3,52.4396712,13.216659,171,10,92,152
54,4,52.613334,13.2351192,87,10,106,166
55,5,52.3896834,13.3926361,41,10,73,133
56,6,52.422955,13.4213435,71,10,59,119
57,7,52.6111844,13.3118897,12,10,34,94
58,8,52.6239907,13.2241605,121,10,154,206
59,9,52.5113386,13.5259454,72,10,142,202
60,10,52.527687,13.3815124,13,10,107,167
61,11,52.5924293,13.3090013,65,10,140,200
62,12,52.4960715,13.4460285,37,10,96,156
63,13,52.4083991,13.5890485,40,10,95,155
64,14,52.4650432,13.4861284,97,10,171,227
65,15,52.5257103,13.6434865,61,10,0,240
66,16,52.4491082,13.349135,133,10,76,136
67,17,52.3901681,13.6387379,147,10,95,155
68,18,52.5279297,13.2417468,59,10,163,215
69,19,52.5368673,13.5079526,63,10,129,189
70,20,52.4416823,13.2222833,68,10,27,87
71,21,52.442153,13.2463983,40,10,160,213
72,22,52.5948849,13.3578555,134,10,106,166
73,23,52.4797132,13.5537467,77,10,96,156
74,24,52.4990494,13.3687159,118,10,73,133
75,25,52.5323296,13.3437657,70,10,115,175
76,26,52.5129342,13.4289634,67,10,160,220
77,27,52.5970329,13.4535207,106,10,61,121
78,28,52.5995878,13.341588,165,10,85,145
79,29,52.4442847,13.3925295,71,10,0,240
80,30,52.430895,13.2343058,59,10,0,240
81,31,52.4698072,13.4729426,131,10,158,218
82,32,52.4342964,13.2164697,90,10,148,208
83,33,52.5343495,13.6204617,15,10,125,185
84,34,52.5462855,13.3756863,73,10,0,240
85,35,52.529987,13.1672921,28,10,130,190
86,36,52.4459866,13.5844194,179,10,85,145
87,37,52.476251,13.3791243,45,10,26,86
88,38,52.6051272,13.2984725,54,10,154,211
89,39,52.4846015,13.3763417,94,10,0,240
90,40,52.4881596,13.3405378,101,10,181,226
91,41,52.5388527,13.2872441,134,10,109,169
92,42,52.4626208,13.5862655,88,10,136,196
93,43,52.5947412,13.4567973,165,10,81,141
94,44,52.4363718,13.322589,100,10,0,240
95,45,52.4188711,13.4493203,138,10,175,221
96,46,52.4979844,13.323666,75,10,177,225
97,47,52.486407,13.57075,71,10,102,162
98,48,52.4373304,13.28718,16,10,25,85
99,49,52.488442,13.1811366,19,10,163,205
100,50,52.4478159,13.4778138,108,10,51,111
101,51,52.3841636,13.4235784,101,10,50,110
