in,jn,x,y,q,tc,te,tl
2,0,52,75,10,90,311,471
3,0,45,70,30,90,213,373
4,0,62,69,10,90,1167,1327
5,0,60,66,10,90,1261,1421
6,0,42,65,10,90,25,185
7,0,16,42,20,90,497,657
8,0,58,70,20,90,1073,1233
9,0,34,60,20,90,2887,3047
10,0,28,70,10,90,2601,2761
11,0,35,66,10,90,2791,2951
12,0,35,69,10,90,2698,2858
13,0,25,85,20,90,2119,2279
14,0,22,75,30,90,2405,2565
15,0,22,85,10,90,2026,2186
16,0,20,80,40,90,2216,2376
17,0,20,85,40,90,1934,2094
18,0,18,75,20,90,2311,2471
19,0,15,75,20,90,1742,1902
20,0,15,80,10,90,1837,1997
21,0,30,50,10,90,10,170
22,0,30,56,20,90,2983,3143
23,0,28,52,20,90,22,182
24,0,14,66,10,90,1643,1803
25,0,25,50,10,90,116,276
26,0,22,66,40,90,2504,2664
27,0,8,62,10,90,1545,1705
28,0,23,52,10,90,209,369
29,0,4,55,20,90,1447,1607
30,0,20,50,10,90,398,558
31,0,20,55,10,90,303,463
32,0,10,35,20,90,781,941
33,0,10,40,30,90,593,753
34,0,8,40,40,90,685,845
35,0,8,45,20,90,1346,1506
36,0,5,35,10,90,876,1036
37,0,5,45,10,90,1253,1413
38,0,2,40,20,90,971,1131
39,0,0,40,30,90,1063,1223
40,0,0,45,20,90,1158,1318
41,0,36,18,10,90,1819,1979
42,0,35,32,10,90,2758,2918
43,0,33,32,20,90,2666,2826
44,0,33,35,10,90,2573,2733
45,0,32,20,10,90,1913,2073
46,0,30,30,10,90,2105,2265
47,0,34,25,30,90,2009,2169
48,0,30,35,10,90,2480,2640
49,0,36,40,10,90,2856,3016
50,0,48,20,10,90,967,1127
51,0,26,32,10,90,2292,2452
52,0,25,30,10,90,2200,2360
53,0,25,35,10,90,2385,2545
54,0,44,5,20,90,1256,1416
55,0,42,10,40,90,1160,1320
56,0,42,15,10,90,1065,1225
57,0,40,5,30,90,1350,1510
58,0,38,15,40,90,1725,1885
59,0,38,5,30,90,1442,1602
60,0,38,10,10,90,1630,1790
61,0,35,5,20,90,1535,1695
62,0,50,30,10,90,401,561
63,0,50,35,20,90,120,280
64,0,50,40,50,90,25,185
65,0,48,30,10,90,493,653
66,0,44,25,10,90,871,1031
67,0,47,35,10,90,588,748
68,0,47,40,10,90,12,172
69,0,42,30,10,90,776,936
70,0,45,35,10,90,680,840
71,0,95,30,30,90,2321,2481
72,0,95,35,20,90,2226,2386
73,0,53,30,10,90,308,468
74,0,92,30,10,90,2414,2574
75,0,53,35,50,90,213,373
76,0,45,65,20,90,118,278
77,0,90,35,10,90,2131,2291
78,0,72,45,10,90,2900,3060
79,0,78,40,20,90,2802,2962
80,0,87,30,10,90,2608,2768
81,0,85,25,10,90,2513,2673
82,0,85,35,30,90,2703,2863
83,0,75,55,20,90,1925,2085
84,0,72,55,10,90,1832,1992
85,0,70,58,20,90,1641,1801
86,0,86,46,30,90,2029,2189
87,0,66,55,10,90,1736,1896
88,0,64,46,20,90,3097,3257
89,0,65,60,30,90,1546,1706
90,0,56,64,10,90,1355,1515
91,0,60,55,10,90,3119,3279
92,0,60,60,10,90,1451,1611
93,0,67,85,20,90,694,854
94,0,42,58,40,90,8,168
95,0,65,82,10,90,788,948
96,0,62,80,30,90,881,1041
97,0,62,40,10,90,3001,3161
98,0,60,85,30,90,597,757
99,0,58,75,20,90,978,1138
100,0,55,80,10,90,407,567
101,0,55,85,20,90,502,662
