in,jn,x,y,q,tc,te,tl
2,0,22,22,18,10,0,0
3,0,36,26,26,10,0,0
4,0,21,45,11,10,0,0
5,0,45,35,30,10,0,0
6,0,55,20,21,10,0,0
7,0,33,34,19,10,0,0
8,0,50,50,15,10,0,0
9,0,55,45,16,10,0,0
10,0,26,59,29,10,0,0
11,0,40,66,26,10,0,0
12,0,55,65,37,10,0,0
13,0,35,51,16,10,0,0
14,0,62,35,12,10,0,0
15,0,62,57,31,10,0,0
16,0,62,24,8,10,0,0
17,0,21,36,19,10,0,0
18,0,33,44,20,10,0,0
19,0,9,56,13,10,0,0
20,0,62,48,15,10,0,0
21,0,66,14,22,10,0,0
22,0,44,13,28,10,0,0
23,0,26,13,12,10,0,0
24,0,11,28,6,10,0,0
25,0,7,43,27,10,0,0
26,0,17,64,14,10,0,0
27,0,41,46,18,10,0,0
28,0,55,34,17,10,0,0
29,0,35,16,29,10,0,0
30,0,52,26,13,10,0,0
31,0,43,26,22,10,0,0
32,0,31,76,25,10,0,0
33,0,22,53,28,10,0,0
34,0,26,29,27,10,0,0
35,0,50,40,19,10,0,0
36,0,55,50,10,10,0,0
37,0,54,10,12,10,0,0
38,0,60,15,14,10,0,0
39,0,47,66,24,10,0,0
40,0,30,60,16,10,0,0
41,0,30,50,33,10,0,0
42,0,12,17,15,10,0,0
43,0,15,14,11,10,0,0
44,0,16,19,18,10,0,0
45,0,21,48,17,10,0,0
46,0,50,30,21,10,0,0
47,0,51,42,27,10,0,0
48,0,50,15,19,10,0,0
49,0,48,21,20,10,0,0
50,0,12,38,5,10,0,0
51,0,37,52,7,10,0,0
52,0,49,49,30,10,0,0
53,0,52,64,16,10,0,0
54,0,20,26,9,10,0,0
55,0,40,30,21,10,0,0
56,0,21,47,15,10,0,0
57,0,17,63,19,10,0,0
58,0,31,62,23,10,0,0
59,0,52,33,11,10,0,0
60,0,51,21,5,10,0,0
61,0,42,41,19,10,0,0
62,0,31,32,29,10,0,0
63,0,5,25,23,10,0,0
64,0,12,42,21,10,0,0
65,0,36,16,10,10,0,0
66,0,52,41,15,10,0,0
67,0,27,23,3,10,0,0
68,0,17,33,41,10,0,0
69,0,13,13,9,10,0,0
70,0,57,58,28,10,0,0
71,0,62,42,8,10,0,0
72,0,42,57,8,10,0,0
73,0,16,57,16,10,0,0
74,0,8,52,10,10,0,0
75,0,7,38,28,10,0,0
76,0,27,68,7,10,0,0
77,0,30,48,15,10,0,0
78,0,43,67,14,10,0,0
79,0,58,48,6,10,0,0
80,0,58,27,19,10,0,0
81,0,37,69,11,10,0,0
82,0,38,46,12,10,0,0
83,0,46,10,23,10,0,0
84,0,61,33,26,10,0,0
85,0,62,63,17,10,0,0
86,0,63,69,6,10,0,0
87,0,32,22,9,10,0,0
88,0,45,35,15,10,0,0
89,0,59,15,14,10,0,0
90,0,5,6,7,10,0,0
91,0,10,17,27,10,0,0
92,0,21,10,13,10,0,0
93,0,5,64,11,10,0,0
94,0,30,15,16,10,0,0
95,0,39,10,10,10,0,0
96,0,32,39,5,10,0,0
97,0,25,32,25,10,0,0
98,0,25,55,17,10,0,0
99,0,48,28,18,10,0,0
100,0,56,37,10,10,0,0
101,0,41,49,10,10,0,0
102,0,35,17,7,10,0,0
103,0,55,45,13,10,0,0
104,0,55,20,19,10,0,0
105,0,15,30,26,10,0,0
106,0,25,30,3,10,0,0
107,0,20,50,5,10,0,0
108,0,10,43,9,10,0,0
109,0,55,60,16,10,0,0
110,0,30,60,16,10,0,0
111,0,20,65,12,10,0,0
112,0,50,35,19,10,0,0
113,0,30,25,23,10,0,0
114,0,15,10,20,10,0,0
115,0,30,5,8,10,0,0
116,0,10,20,19,10,0,0
117,0,5,30,2,10,0,0
118,0,20,40,12,10,0,0
119,0,15,60,17,10,0,0
120,0,45,65,9,10,0,0
121,0,45,20,11,10,0,0
122,0,45,10,18,10,0,0
123,0,55,5,29,10,0,0
124,0,65,35,3,10,0,0
125,0,65,20,6,10,0,0
126,0,45,30,17,10,0,0
127,0,35,40,16,10,0,0
128,0,41,37,16,10,0,0
129,0,64,42,9,10,0,0
130,0,40,60,21,10,0,0
131,0,31,52,27,10,0,0
132,0,35,69,23,10,0,0
133,0,53,52,11,10,0,0
134,0,65,55,14,10,0,0
135,0,63,65,8,10,0,0
136,0,2,60,5,10,0,0
137,0,20,20,8,10,0,0
138,0,5,5,16,10,0,0
139,0,60,12,31,10,0,0
140,0,40,25,9,10,0,0
141,0,42,7,5,10,0,0
142,0,24,12,5,10,0,0
143,0,23,3,7,10,0,0
144,0,11,14,18,10,0,0
145,0,6,38,16,10,0,0
146,0,2,48,1,10,0,0
147,0,8,56,27,10,0,0
148,0,13,52,36,10,0,0
149,0,6,68,30,10,0,0
150,0,47,47,13,10,0,0
151,0,49,58,10,10,0,0
152,0,27,43,9,10,0,0
153,0,37,31,14,10,0,0
154,0,57,29,18,10,0,0
155,0,63,23,2,10,0,0
156,0,53,12,6,10,0,0
157,0,32,12,7,10,0,0
158,0,36,26,18,10,0,0
159,0,21,24,28,10,0,0
160,0,17,34,3,10,0,0
161,0,12,24,13,10,0,0
162,0,24,58,19,10,0,0
163,0,27,69,10,10,0,0
164,0,15,77,9,10,0,0
165,0,62,77,20,10,0,0
166,0,49,73,25,10,0,0
167,0,67,5,25,10,0,0
168,0,56,39,36,10,0,0
169,0,37,47,6,10,0,0
170,0,37,56,5,10,0,0
171,0,57,68,15,10,0,0
172,0,47,16,25,10,0,0
173,0,44,17,9,10,0,0
174,0,46,13,8,10,0,0
175,0,49,11,18,10,0,0
176,0,49,42,13,10,0,0
177,0,53,43,14,10,0,0
178,0,61,52,3,10,0,0
179,0,57,48,23,10,0,0
180,0,56,37,6,10,0,0
181,0,55,54,26,10,0,0
182,0,15,47,16,10,0,0
183,0,14,37,11,10,0,0
184,0,11,31,7,10,0,0
185,0,16,22,41,10,0,0
186,0,4,18,35,10,0,0
187,0,28,18,26,10,0,0
188,0,26,52,9,10,0,0
189,0,26,35,15,10,0,0
190,0,31,67,3,10,0,0
191,0,15,19,1,10,0,0
192,0,22,22,2,10,0,0
193,0,18,24,22,10,0,0
194,0,26,27,27,10,0,0
195,0,25,24,20,10,0,0
196,0,22,27,11,10,0,0
197,0,25,21,12,10,0,0
198,0,19,21,10,10,0,0
199,0,20,26,9,10,0,0
200,0,18,18,17,10,0,0
