in,jn,x,y,qc,tc,te,tl
13,23,45,68,10,90,912,967
14,18,45,70,20,90,825,870
15,87,42,66,-10,90,65,146
16,21,42,68,10,90,727,782
17,19,42,65,-10,90,15,67
18,14,40,69,-20,90,621,702
19,17,40,66,10,90,170,225
20,22,38,68,-20,90,255,324
21,16,38,70,-10,90,534,605
22,20,35,66,20,90,357,410
23,13,35,69,-10,90,448,505
24,30,25,85,20,90,652,721
25,29,22,75,-30,90,30,92
26,28,22,85,40,90,567,620
27,31,20,80,10,90,384,429
28,26,20,85,-40,90,475,528
29,25,18,75,30,90,99,148
30,24,15,75,-20,90,179,254
31,27,15,80,-10,90,278,345
32,36,30,50,-10,90,10,73
33,42,30,52,10,90,914,965
34,40,28,52,20,90,812,883
35,115,28,55,-10,0,732,777
36,32,25,50,10,90,65,144
37,39,25,52,-40,90,169,224
38,41,25,55,10,90,622,701
39,37,23,52,40,90,261,316
40,34,23,55,-20,90,546,593
41,38,20,50,-10,90,358,405
42,33,20,55,-10,90,449,504
43,44,10,35,30,90,200,237
44,43,10,40,-30,90,31,100
45,49,8,40,-40,90,87,158
46,50,8,45,30,90,751,816
47,51,5,35,-10,90,283,344
48,117,5,45,-10,0,665,716
49,45,2,40,40,90,383,434
50,46,0,40,-30,90,479,522
51,47,0,45,10,90,567,624
52,54,35,30,20,90,264,321
53,55,35,32,10,90,166,235
54,52,33,32,-20,90,68,149
55,53,33,35,-10,90,16,80
56,58,32,30,-10,90,359,412
57,60,30,30,-10,90,541,600
58,56,30,32,10,90,448,509
59,61,30,35,10,90,1054,1127
60,57,28,30,10,90,632,693
61,59,28,35,-10,90,1001,1066
62,64,26,32,-10,90,815,880
63,113,25,30,-10,0,725,786
64,62,25,35,10,90,912,969
65,70,44,5,-20,90,286,347
66,72,42,10,-40,90,186,257
67,69,42,15,40,90,95,158
68,71,40,5,-30,90,385,436
69,67,40,15,-40,90,35,87
70,65,38,5,20,90,471,534
71,68,38,15,30,90,651,740
72,66,35,5,40,90,562,629
73,79,50,30,10,90,531,610
74,80,50,35,-20,90,262,317
75,86,50,40,-50,90,171,218
76,114,48,30,-10,0,632,693
77,84,48,40,-10,90,76,129
78,81,47,35,-10,90,826,875
79,73,47,40,-10,90,12,77
80,74,45,30,20,90,734,777
81,78,45,35,10,90,916,969
82,93,95,30,30,90,387,456
83,89,95,35,-20,90,293,360
84,77,53,30,10,90,450,505
85,88,92,30,10,90,478,551
86,75,53,35,50,90,353,412
87,15,45,65,10,90,997,1068
88,85,90,35,-10,90,203,260
89,83,88,30,20,90,574,643
90,116,88,35,-20,0,109,170
91,92,87,30,-10,90,668,731
92,91,85,25,10,90,769,820
93,82,85,35,-30,90,47,124
94,97,75,55,-20,90,369,420
95,99,72,55,20,90,265,338
96,101,70,58,-20,90,458,523
97,94,68,60,20,90,555,612
98,103,66,55,-10,90,173,238
99,95,65,55,-20,90,85,144
100,102,65,60,10,90,645,708
101,96,63,58,20,90,737,802
102,100,60,55,-10,90,20,84
103,98,60,60,10,90,836,889
104,105,67,85,-20,90,368,441
105,104,65,85,20,90,475,518
106,108,65,82,10,90,285,336
107,110,62,80,20,90,196,239
108,106,60,80,-10,90,95,156
109,118,60,85,-30,0,561,622
110,107,58,75,-20,90,30,84
111,112,55,80,20,90,743,820
112,111,55,85,-20,90,647,726
113,63,25,30,10,90,725,786
114,76,48,30,10,90,632,693
115,35,28,55,10,90,732,777
116,90,88,35,20,90,109,170
117,48,5,45,10,90,665,716
118,109,60,85,30,90,561,622
