in,jn,If,x,y,qc,tc,te,tl
2,12,108,45,68,10,90,912,967
3,7,108,45,70,20,90,825,870
4,76,108,42,66,-10,90,65,146
5,10,108,42,68,10,90,727,782
6,8,108,42,65,-10,90,15,67
7,3,108,40,69,-20,90,621,702
8,6,108,40,66,10,90,170,225
9,11,108,38,68,-20,90,255,324
10,5,108,38,70,-10,90,534,605
11,9,108,35,66,20,90,357,410
12,2,108,35,69,-10,90,448,505
13,19,108,25,85,20,90,652,721
14,18,108,22,75,-30,90,30,92
15,17,108,22,85,40,90,567,620
16,20,108,20,80,10,90,384,429
17,15,108,20,85,-40,90,475,528
18,14,108,18,75,30,90,99,148
19,13,108,15,75,-20,90,179,254
20,16,108,15,80,-10,90,278,345
21,25,108,30,50,-10,90,10,73
22,31,108,30,52,10,90,914,965
23,29,108,28,52,20,90,812,883
24,104,108,28,55,-10,0,732,777
25,21,108,25,50,10,90,65,144
26,28,108,25,52,-40,90,169,224
27,30,108,25,55,10,90,622,701
28,26,108,23,52,40,90,261,316
29,23,108,23,55,-20,90,546,593
30,27,108,20,50,-10,90,358,405
31,22,108,20,55,-10,90,449,504
32,33,108,10,35,30,90,200,237
33,32,108,10,40,-30,90,31,100
34,38,108,8,40,-40,90,87,158
35,39,108,8,45,30,90,751,816
36,40,108,5,35,-10,90,283,344
37,106,108,5,45,-10,0,665,716
38,34,108,2,40,40,90,383,434
39,35,108,0,40,-30,90,479,522
40,36,108,0,45,10,90,567,624
41,43,108,35,30,20,90,264,321
42,44,108,35,32,10,90,166,235
43,41,108,33,32,-20,90,68,149
44,42,108,33,35,-10,90,16,80
45,47,108,32,30,-10,90,359,412
46,49,108,30,30,-10,90,541,600
47,45,108,30,32,10,90,448,509
48,50,108,30,35,10,90,1054,1127
49,46,108,28,30,10,90,632,693
50,48,108,28,35,-10,90,1001,1066
51,53,108,26,32,-10,90,815,880
52,102,108,25,30,-10,0,725,786
53,51,108,25,35,10,90,912,969
54,59,108,44,5,-20,90,286,347
55,61,108,42,10,-40,90,186,257
56,58,108,42,15,40,90,95,158
57,60,108,40,5,-30,90,385,436
58,56,108,40,15,-40,90,35,87
59,54,108,38,5,20,90,471,534
60,57,108,38,15,30,90,651,740
61,55,108,35,5,40,90,562,629
62,68,108,50,30,10,90,531,610
63,69,108,50,35,-20,90,262,317
64,75,108,50,40,-50,90,171,218
65,103,108,48,30,-10,0,632,693
66,73,108,48,40,-10,90,76,129
67,70,108,47,35,-10,90,826,875
68,62,108,47,40,-10,90,12,77
69,63,108,45,30,20,90,734,777
70,67,108,45,35,10,90,916,969
71,82,108,95,30,30,90,387,456
72,78,108,95,35,-20,90,293,360
73,66,108,53,30,10,90,450,505
74,77,108,92,30,10,90,478,551
75,64,108,53,35,50,90,353,412
76,4,108,45,65,10,90,997,1068
77,74,108,90,35,-10,90,203,260
78,72,108,88,30,20,90,574,643
79,105,108,88,35,-20,0,109,170
80,81,108,87,30,-10,90,668,731
81,80,108,85,25,10,90,769,820
82,71,108,85,35,-30,90,47,124
83,86,108,75,55,-20,90,369,420
84,88,108,72,55,20,90,265,338
85,90,108,70,58,-20,90,458,523
86,83,108,68,60,20,90,555,612
87,92,108,66,55,-10,90,173,238
88,84,108,65,55,-20,90,85,144
89,91,108,65,60,10,90,645,708
90,85,108,63,58,20,90,737,802
91,89,108,60,55,-10,90,20,84
92,87,108,60,60,10,90,836,889
93,94,108,67,85,-20,90,368,441
94,93,108,65,85,20,90,475,518
95,97,108,65,82,10,90,285,336
96,99,108,62,80,20,90,196,239
97,95,108,60,80,-10,90,95,156
98,107,108,60,85,-30,0,561,622
99,96,108,58,75,-20,90,30,84
100,101,108,55,80,20,90,743,820
101,100,108,55,85,-20,90,647,726
102,52,108,25,30,10,90,725,786
103,65,108,48,30,10,90,632,693
104,24,108,28,55,10,90,732,777
105,79,108,88,35,20,90,109,170
106,37,108,5,45,10,90,665,716
107,98,108,60,85,30,90,561,622
