in,jn,x,y,qc,tc,te,tl
2,101,52,75,-10,90,302,479
3,8,45,70,-30,90,157,428
4,90,62,69,-10,90,1138,1355
5,78,60,66,-10,90,1247,1434
6,100,42,65,-10,90,15,208
7,16,16,42,-20,90,209,944
8,3,58,70,30,90,1059,1246
9,11,34,60,10,90,2035,3288
10,17,28,70,40,90,2090,3271
11,9,35,66,-10,90,2311,3283
12,22,35,69,-10,90,2428,3127
13,36,25,85,10,90,1772,2625
14,39,22,75,30,90,2135,2834
15,19,22,85,20,90,1586,2625
16,7,20,80,20,90,1858,2733
17,10,20,85,-40,90,1512,2515
18,26,18,75,-20,90,1895,2886
19,15,15,75,-20,90,1299,2344
20,102,15,80,-10,0,1461,2372
21,28,30,50,-10,90,10,963
22,12,30,56,10,90,2062,3288
23,40,28,52,-20,90,12,752
24,32,14,66,20,90,1316,2129
25,35,25,50,-10,90,15,532
26,18,22,66,20,90,2177,2990
27,37,8,62,10,90,1036,2213
28,21,23,52,10,90,17,602
29,38,4,55,20,90,1010,2043
30,34,20,50,-10,90,20,948
31,33,20,55,-10,90,63,702
32,24,10,35,-20,90,309,1412
33,31,10,40,10,90,336,1009
34,30,8,40,10,90,234,1295
35,25,8,45,10,90,954,1897
36,13,5,35,-10,90,377,1534
37,27,5,45,-10,90,819,1846
38,29,2,40,-20,90,494,1607
39,14,0,40,-30,90,637,1648
40,23,0,45,20,90,834,1641
41,63,36,18,20,90,1468,2329
42,53,35,32,10,90,2480,3195
43,61,33,32,20,90,2421,3070
44,51,33,35,10,90,2368,2937
45,50,32,20,10,90,1621,2364
46,47,30,30,30,90,1805,2564
47,46,34,25,-30,90,1782,2395
48,54,30,35,20,90,2242,2877
49,62,36,40,10,90,2605,3266
50,45,48,20,-10,90,812,1281
51,44,26,32,-10,90,1842,2901
52,60,25,30,10,90,1883,2676
53,42,25,35,-10,90,2070,2859
54,48,44,5,-20,90,1078,1593
55,59,42,10,-40,90,998,1481
56,58,42,15,-10,90,897,1392
57,67,40,5,10,90,1083,1776
58,56,38,15,10,90,1426,2183
59,55,38,5,40,90,1133,1910
60,52,38,10,-10,90,1392,2027
61,43,35,5,-20,90,1180,2049
62,49,50,30,-10,90,223,738
63,41,50,35,-20,90,18,474
64,68,50,40,10,90,14,360
65,73,48,30,10,90,246,899
66,75,44,25,50,90,704,1197
67,57,47,35,-10,90,393,942
68,64,47,40,-10,90,12,424
69,70,42,30,10,90,641,1070
70,69,45,35,-10,90,534,985
71,77,95,30,10,90,2119,2682
72,88,95,35,-20,90,2192,2419
73,65,53,30,-10,90,131,644
74,83,92,30,20,90,2169,2818
75,66,53,35,-50,90,87,498
76,96,45,65,-20,90,49,346
77,71,90,35,-10,90,2106,2315
78,5,72,45,10,90,2701,3258
79,80,78,40,10,90,2599,3164
80,79,87,30,-10,90,2505,2870
81,91,85,25,-10,90,2369,2816
82,103,85,35,-30,0,2563,3002
83,74,75,55,-20,90,1894,2115
84,89,72,55,30,90,1751,2072
85,86,70,58,-20,90,1617,1824
86,85,86,46,20,90,1969,2248
87,97,66,55,-10,90,1710,1921
88,72,64,46,20,90,2976,3275
89,84,65,60,-30,90,1482,1769
90,4,56,64,10,90,1275,1594
91,81,60,55,10,90,2789,3279
92,95,60,60,10,90,1440,1621
93,94,67,85,40,90,646,901
94,93,42,58,-40,90,8,258
95,92,65,82,-10,90,708,1027
96,76,62,80,20,90,852,1069
97,87,62,40,10,90,2713,3275
98,99,60,85,-30,90,537,816
99,98,58,75,30,90,948,1167
100,6,55,80,10,90,379,594
101,2,55,85,10,90,477,686
102,20,15,80,10,90,1461,2372
103,82,85,35,30,90,2563,3002
