in,jn,x,y,q,tc,te,tl
2,67,41,49,25,10,161,171
3,74,35,17,-7,10,50,60
4,70,55,45,6,10,116,126
5,57,55,20,6,10,149,159
6,86,15,30,-26,10,34,44
7,53,25,30,9,10,99,109
8,89,20,50,9,10,81,91
9,18,10,43,-9,10,95,105
10,31,55,60,21,10,97,107
11,32,30,60,27,10,124,134
12,21,20,65,-12,10,67,77
13,29,50,35,16,10,63,73
14,44,30,25,7,10,159,169
15,39,15,10,-20,10,32,42
16,98,30,5,-8,10,61,71
17,92,10,20,-19,10,75,85
18,9,5,30,9,10,157,167
19,90,20,40,-12,10,87,97
20,37,15,60,5,10,76,86
21,12,45,65,12,10,126,136
22,42,45,20,-11,10,62,72
23,76,45,10,18,10,97,107
24,105,55,5,-29,0,68,78
25,81,65,35,-3,10,153,163
26,56,65,20,2,10,172,182
27,41,45,30,9,10,132,142
28,80,35,40,-16,10,37,47
29,13,41,37,-16,10,39,49
30,79,64,42,-9,10,63,73
31,10,40,60,-21,10,71,81
32,11,31,52,-27,10,50,60
33,91,35,69,3,10,141,151
34,35,53,52,-11,10,37,47
35,34,65,55,11,10,117,127
36,78,63,65,-8,10,143,153
37,20,2,60,-5,10,41,51
38,84,20,20,11,10,134,144
39,15,5,5,20,10,83,93
40,68,60,12,-31,10,44,54
41,27,40,25,-9,10,85,95
42,22,42,7,11,10,97,107
43,88,24,12,-5,10,31,41
44,14,23,3,-7,10,132,142
45,106,11,14,-18,0,69,79
46,85,6,38,-16,10,32,42
47,48,2,48,27,10,117,127
48,47,8,56,-27,10,51,61
49,65,13,52,9,10,165,175
50,64,6,68,10,10,108,118
51,72,47,47,15,10,124,134
52,102,49,58,-10,0,88,98
53,7,27,43,-9,10,52,62
54,107,37,31,-14,0,95,105
55,77,57,29,13,10,140,150
56,26,63,23,-2,10,136,146
57,5,53,12,-6,10,130,140
58,93,32,12,2,10,101,111
59,73,36,26,25,10,200,210
60,97,21,24,-28,10,18,28
61,83,17,34,16,10,162,172
62,94,12,24,-13,10,76,86
63,71,24,58,-19,10,58,68
64,50,27,69,-10,10,34,44
65,49,15,77,-9,10,73,83
66,82,62,77,-20,10,51,61
67,2,49,73,-25,10,127,137
68,40,67,5,31,10,83,93
69,104,56,39,-36,0,142,152
70,4,37,47,-6,10,50,60
71,63,37,56,19,10,182,192
72,51,57,68,-15,10,77,87
73,59,47,16,-25,10,35,45
74,3,44,17,7,10,78,88
75,103,46,13,-8,0,149,159
76,23,49,11,-18,10,69,79
77,55,49,42,-13,10,73,83
78,36,53,43,8,10,179,189
79,30,61,52,9,10,96,106
80,28,57,48,16,10,92,102
81,25,56,37,3,10,182,192
82,66,55,54,20,10,94,104
83,61,15,47,-16,10,55,65
84,38,14,37,-11,10,44,54
85,46,11,31,16,10,101,111
86,6,16,22,26,10,91,101
87,99,4,18,10,10,94,104
88,43,28,18,5,10,93,103
89,8,26,52,-9,10,74,84
90,19,26,35,12,10,176,186
91,33,31,67,-3,10,95,105
92,17,15,19,19,10,160,170
93,58,22,22,-2,10,18,28
94,62,18,24,13,10,188,198
95,100,26,27,9,10,100,110
96,101,25,24,-20,10,39,49
97,60,22,27,28,10,135,145
98,16,25,21,8,10,133,143
99,87,19,21,-10,10,58,68
100,95,20,26,-9,10,83,93
101,96,18,18,20,10,185,195
102,52,49,58,10,10,88,98
103,75,46,13,8,10,149,159
104,69,56,39,36,10,142,152
105,24,55,5,29,10,68,78
106,45,11,14,18,10,69,79
107,54,37,31,14,10,95,105
