in,jn,x,y,qc,tc,te,tl
3,35,41,49,11,10,151,181
4,59,35,17,-7,10,40,70
5,82,55,45,-13,10,106,136
6,25,55,20,29,10,139,169
7,18,15,30,-26,10,24,54
8,96,25,30,27,10,89,119
9,54,20,50,9,10,71,101
10,84,10,43,16,10,85,115
11,68,55,60,-16,10,87,117
12,92,30,60,3,10,114,144
13,66,20,65,9,10,57,87
14,31,50,35,-19,10,53,83
15,99,30,25,12,10,149,179
16,88,15,10,-20,10,32,62
17,89,30,5,-8,10,51,81
18,7,10,20,26,10,65,95
19,62,5,30,-2,10,147,177
20,85,20,40,11,10,77,107
21,38,15,60,5,10,66,96
22,73,45,65,15,10,116,146
23,77,45,20,-11,10,52,82
24,60,45,10,-18,10,87,117
25,6,55,5,-29,10,58,88
26,52,65,35,13,10,143,173
27,74,65,20,25,10,156,186
28,55,45,30,14,10,122,152
29,71,35,40,-16,10,27,57
30,81,41,37,-16,10,29,59
31,14,64,42,19,10,53,83
32,37,40,60,-21,10,61,91
33,83,31,52,-27,10,40,70
34,106,35,69,-23,0,131,161
35,3,53,52,-11,10,27,57
36,79,65,55,-14,10,107,137
37,32,63,65,21,10,133,163
38,21,2,60,-5,10,41,71
39,46,20,20,18,10,124,154
40,44,5,5,5,10,73,103
41,57,60,12,-31,10,34,64
42,78,40,25,13,10,75,105
43,76,42,7,-5,10,87,117
44,40,24,12,-5,10,25,55
45,102,23,3,-7,10,122,152
46,39,11,14,-18,10,59,89
47,104,6,38,-16,0,29,59
48,50,2,48,-1,10,107,137
49,51,8,56,-27,10,41,71
50,48,13,52,1,10,155,185
51,49,6,68,27,10,98,128
52,26,47,47,-13,10,114,144
53,80,49,58,-10,10,78,108
54,9,27,43,-9,10,42,72
55,28,37,31,-14,10,85,115
56,69,57,29,25,10,130,160
57,41,63,23,31,10,126,156
58,75,53,12,9,10,120,150
59,4,32,12,7,10,91,121
60,24,36,26,18,10,180,210
61,63,21,24,-28,10,17,47
62,19,17,34,2,10,152,182
63,61,12,24,28,10,66,96
64,90,24,58,-19,10,48,78
65,72,27,69,-10,10,34,64
66,13,15,77,-9,10,63,93
67,107,62,77,-20,0,49,79
68,11,49,73,16,10,117,147
69,56,67,5,-25,10,73,103
70,103,56,39,-36,0,132,162
71,29,37,47,16,10,40,70
72,65,37,56,10,10,168,198
73,22,57,68,-15,10,67,97
74,27,47,16,-25,10,25,55
75,58,44,17,-9,10,68,98
76,43,46,13,5,10,139,169
77,23,49,11,11,10,59,89
78,42,49,42,-13,10,63,93
79,36,53,43,14,10,169,199
80,53,61,52,10,10,86,116
81,30,57,48,16,10,82,112
82,5,56,37,13,10,168,198
83,33,55,54,27,10,84,114
84,10,15,47,-16,10,45,75
85,20,14,37,-11,10,34,64
86,87,11,31,41,10,91,121
87,86,16,22,-41,10,81,111
88,16,4,18,20,10,84,114
89,17,28,18,8,10,83,113
90,64,26,52,19,10,64,94
91,105,26,35,-15,0,166,196
92,12,31,67,-3,10,85,115
93,95,15,19,-1,10,150,180
94,97,22,22,20,10,18,48
95,93,18,24,1,10,169,199
96,8,26,27,-27,10,90,120
97,94,25,24,-20,10,29,59
98,108,22,27,-11,0,125,155
99,15,25,21,-12,10,123,153
100,101,19,21,-10,10,48,78
101,100,20,26,10,10,73,103
102,45,18,18,7,10,165,195
103,70,56,39,36,10,132,162
104,47,6,38,16,10,29,59
105,91,26,35,15,10,166,196
106,34,35,69,23,10,131,161
107,67,62,77,20,10,49,79
108,98,22,27,11,10,125,155
