in,jn,x,y,qc,tc,te,tl
3,16,25,85,10,10,673,793
4,100,22,75,-30,10,152,272
5,103,22,85,-10,0,471,591
6,61,20,80,19,10,644,764
7,90,20,85,-20,10,73,193
8,14,18,75,20,10,388,508
9,67,15,75,16,10,300,420
10,48,15,80,-10,10,367,487
11,89,10,35,13,10,371,491
12,64,10,40,3,10,519,639
13,70,8,40,-40,10,195,315
14,8,8,45,-20,10,223,343
15,59,5,35,23,10,653,773
16,3,5,45,-10,10,35,155
17,57,2,40,-20,10,174,294
18,75,0,40,-20,10,255,375
19,102,0,45,-20,10,703,823
20,84,44,5,9,10,335,455
21,53,42,10,-40,10,254,374
22,56,42,15,-10,10,537,657
23,25,40,5,30,10,215,335
24,87,40,15,2,10,375,495
25,23,38,5,-30,10,201,321
26,91,38,15,25,10,681,801
27,50,35,5,10,10,784,904
28,43,95,30,20,10,529,649
29,101,95,35,-20,10,146,266
30,69,92,30,-10,10,149,269
31,32,90,35,-10,10,194,314
32,31,88,30,10,10,246,366
33,92,88,35,-20,10,165,285
34,40,87,30,30,10,621,741
35,73,85,25,-10,10,80,200
36,41,85,35,10,10,487,607
37,54,67,85,3,10,657,777
38,74,65,85,-40,10,43,163
39,82,65,82,-10,10,557,677
40,34,62,80,-30,10,278,398
41,36,60,80,-10,10,64,184
42,47,60,85,10,10,329,449
43,28,58,75,-20,10,376,496
44,46,55,80,-10,10,33,153
45,66,55,85,17,10,574,694
46,44,55,82,10,10,217,337
47,42,20,82,-10,10,37,157
48,10,18,80,10,10,489,609
49,80,2,45,-10,10,105,225
50,27,42,5,-10,10,732,852
51,58,42,12,-10,10,440,560
52,83,72,35,10,10,507,627
53,21,55,20,40,10,326,446
54,37,25,30,-3,10,175,295
55,94,20,50,14,10,375,495
56,22,55,60,10,10,601,721
57,17,30,60,20,10,599,719
58,51,50,35,10,10,557,677
59,15,30,25,-23,10,397,517
60,79,15,10,7,10,782,902
61,6,10,20,-19,10,42,162
62,99,15,60,35,10,694,814
63,96,45,65,-9,10,258,378
64,12,65,35,-3,10,167,287
65,97,65,20,6,10,39,159
66,45,45,30,-17,10,191,311
67,9,35,40,-16,10,11,131
68,95,41,37,-16,10,566,686
69,30,64,42,10,10,268,388
70,13,40,60,40,10,612,732
71,78,31,52,-27,10,157,277
72,104,35,69,-23,0,810,930
73,35,65,55,10,10,241,361
74,38,63,65,40,10,60,180
75,18,2,60,20,10,286,406
76,88,20,20,28,10,645,765
77,81,5,5,-16,10,232,352
78,71,60,12,27,10,268,388
79,60,23,3,-7,10,764,884
80,49,8,56,10,10,365,485
81,77,6,68,16,10,352,472
82,39,47,47,10,10,822,942
83,52,49,58,-10,10,355,475
84,20,27,43,-9,10,152,272
85,86,37,31,-14,10,105,225
86,85,57,29,14,10,395,515
87,24,63,23,-2,10,344,464
88,76,21,24,-28,10,349,469
89,11,12,24,-13,10,359,479
90,7,24,58,20,10,260,380
91,26,67,5,-25,10,713,833
92,33,37,47,20,10,359,479
93,98,49,42,26,10,719,839
94,55,53,43,-14,10,14,134
95,68,61,52,16,10,808,928
96,63,57,48,9,10,392,512
97,65,56,37,-6,10,100,220
98,93,55,54,-26,10,562,682
99,62,4,18,-35,10,547,667
100,4,26,52,30,10,172,292
101,29,26,35,20,10,308,428
102,19,31,67,20,10,810,930
103,5,22,85,10,10,471,591
104,72,35,69,23,10,810,930
