iv,jv,id,qv,wv,lv,sv,tc,tw,cd,ct,cf
1,1,2,1000,100000,100000,1,0,100000,1,0,100
2,1,2,1000,100000,100000,1,0,100000,1,0,100
3,1,2,1000,100000,100000,1,0,100000,1,0,100
4,1,2,1000,100000,100000,1,0,100000,1,0,100
5,1,2,1000,100000,100000,1,0,100000,1,0,100
6,1,2,1000,100000,100000,1,0,100000,1,0,100
7,1,2,1000,100000,100000,1,0,100000,1,0,100
8,1,2,1000,100000,100000,1,0,100000,1,0,100
9,1,2,1000,100000,100000,1,0,100000,1,0,100
10,1,2,1000,100000,100000,1,0,100000,1,0,100
11,1,2,1000,100000,100000,1,0,100000,1,0,100
12,1,2,1000,100000,100000,1,0,100000,1,0,100
13,1,2,1000,100000,100000,1,0,100000,1,0,100
14,1,2,1000,100000,100000,1,0,100000,1,0,100
15,1,2,1000,100000,100000,1,0,100000,1,0,100
16,1,2,1000,100000,100000,1,0,100000,1,0,100
17,1,2,1000,100000,100000,1,0,100000,1,0,100
18,1,2,1000,100000,100000,1,0,100000,1,0,100
19,1,2,1000,100000,100000,1,0,100000,1,0,100
20,1,2,1000,100000,100000,1,0,100000,1,0,100
21,1,2,1000,100000,100000,1,0,100000,1,0,100
22,1,2,1000,100000,100000,1,0,100000,1,0,100
23,1,2,1000,100000,100000,1,0,100000,1,0,100
24,1,2,1000,100000,100000,1,0,100000,1,0,100
25,1,2,1000,100000,100000,1,0,100000,1,0,100
