in,jn,x,y,q,tc,te,tl
2,0,45,68,10,10,0,0
3,0,45,70,30,10,0,0
4,0,42,66,10,10,0,0
5,0,42,68,10,10,0,0
6,0,42,65,10,10,0,0
7,0,40,69,20,10,0,0
8,0,40,66,20,10,0,0
9,0,38,68,20,10,0,0
10,0,38,70,10,10,0,0
11,0,35,66,10,10,0,0
12,0,35,69,10,10,0,0
13,0,25,85,20,10,0,0
14,0,22,75,30,10,0,0
15,0,22,85,10,10,0,0
16,0,20,80,40,10,0,0
17,0,20,85,40,10,0,0
18,0,18,75,20,10,0,0
19,0,15,75,20,10,0,0
20,0,15,80,10,10,0,0
21,0,30,50,10,10,0,0
22,0,30,52,20,10,0,0
23,0,28,52,20,10,0,0
24,0,28,55,10,10,0,0
25,0,25,50,10,10,0,0
26,0,25,52,40,10,0,0
27,0,25,55,10,10,0,0
28,0,23,52,10,10,0,0
29,0,23,55,20,10,0,0
30,0,20,50,10,10,0,0
31,0,20,55,10,10,0,0
32,0,10,35,20,10,0,0
33,0,10,40,30,10,0,0
34,0,8,40,40,10,0,0
35,0,8,45,20,10,0,0
36,0,5,35,10,10,0,0
37,0,5,45,10,10,0,0
38,0,2,40,20,10,0,0
39,0,0,40,30,10,0,0
40,0,0,45,20,10,0,0
41,0,35,30,10,10,0,0
42,0,35,32,10,10,0,0
43,0,33,32,20,10,0,0
44,0,33,35,10,10,0,0
45,0,32,30,10,10,0,0
46,0,30,30,10,10,0,0
47,0,30,32,30,10,0,0
48,0,30,35,10,10,0,0
49,0,28,30,10,10,0,0
50,0,28,35,10,10,0,0
51,0,26,32,10,10,0,0
52,0,25,30,10,10,0,0
53,0,25,35,10,10,0,0
54,0,44,5,20,10,0,0
55,0,42,10,40,10,0,0
56,0,42,15,10,10,0,0
57,0,40,5,30,10,0,0
58,0,40,15,40,10,0,0
59,0,38,5,30,10,0,0
60,0,38,15,10,10,0,0
61,0,35,5,20,10,0,0
62,0,50,30,10,10,0,0
63,0,50,35,20,10,0,0
64,0,50,40,50,10,0,0
65,0,48,30,10,10,0,0
66,0,48,40,10,10,0,0
67,0,47,35,10,10,0,0
68,0,47,40,10,10,0,0
69,0,45,30,10,10,0,0
70,0,45,35,10,10,0,0
71,0,95,30,30,10,0,0
72,0,95,35,20,10,0,0
73,0,53,30,10,10,0,0
74,0,92,30,10,10,0,0
75,0,53,35,50,10,0,0
76,0,45,65,20,10,0,0
77,0,90,35,10,10,0,0
78,0,88,30,10,10,0,0
79,0,88,35,20,10,0,0
80,0,87,30,10,10,0,0
81,0,85,25,10,10,0,0
82,0,85,35,30,10,0,0
83,0,75,55,20,10,0,0
84,0,72,55,10,10,0,0
85,0,70,58,20,10,0,0
86,0,68,60,30,10,0,0
87,0,66,55,10,10,0,0
88,0,65,55,20,10,0,0
89,0,65,60,30,10,0,0
90,0,63,58,10,10,0,0
91,0,60,55,10,10,0,0
92,0,60,60,10,10,0,0
93,0,67,85,20,10,0,0
94,0,65,85,40,10,0,0
95,0,65,82,10,10,0,0
96,0,62,80,30,10,0,0
97,0,60,80,10,10,0,0
98,0,60,85,30,10,0,0
99,0,58,75,20,10,0,0
100,0,55,80,10,10,0,0
101,0,55,85,20,10,0,0
