in,jn,x,y,q,tc,te,tl
2,52,40.781479,-73.952164,-1,2,31,61
3,53,40.758472,-73.985191,-4,2,12,42
4,54,40.788925,-73.940559,-2,2,9,39
5,55,40.741795,-73.904915,-1,2,22,52
6,56,40.751068,-73.99398,-1,2,119,149
7,57,40.753429,-73.978714,-1,2,136,166
8,58,40.765308,-73.997482,-4,2,47,77
9,59,40.750896,-73.994492,-1,2,47,77
10,60,40.780804,-73.981621,-1,2,10,40
11,61,40.780117,-73.981575,-1,2,164,194
12,62,40.760094,-73.971939,-1,2,4,34
13,63,40.739719,-73.995026,-1,2,13,43
14,64,40.770683,-73.956993,-1,2,183,213
15,65,40.750126,-73.991531,-1,2,90,120
16,66,40.749573,-73.992393,-1,2,46,76
17,67,40.779358,-73.947311,-2,2,95,125
18,68,40.76923,-73.969566,-1,2,6,36
19,69,40.737728,-73.992561,-2,2,122,152
20,70,40.756378,-73.990059,-1,2,97,127
21,71,40.751137,-73.990623,-1,2,138,168
22,72,40.779285,-73.947762,-1,2,8,38
23,73,40.748707,-73.991302,-1,2,5,35
24,74,40.767906,-73.959198,-1,2,102,132
25,75,40.774044,-73.872849,-1,2,127,157
26,76,40.750172,-73.991684,-1,2,39,69
27,77,40.68906,-73.988869,-2,2,39,69
28,78,40.747318,-73.9814,-1,2,96,126
29,79,40.802635,-73.967979,-1,2,13,43
30,80,40.762989,-73.981926,-1,2,115,145
31,81,40.772385,-73.959,-1,2,22,52
32,82,40.780216,-73.957314,-1,2,8,38
33,83,40.767021,-73.959595,-1,2,166,196
34,84,40.762722,-73.957809,-1,2,151,181
35,85,40.774559,-73.963959,-1,2,66,96
36,86,40.806648,-73.965042,-4,2,188,218
37,87,40.644363,-73.782494,-1,2,26,56
38,88,40.74844,-73.991173,-1,2,13,43
39,89,40.714016,-73.957947,-1,2,14,44
40,90,40.75526,-73.979675,-1,2,34,64
41,91,40.751968,-73.978111,-2,2,26,56
42,92,40.801155,-73.961357,-1,2,24,54
43,93,40.778698,-73.982185,-1,2,5,35
44,94,40.78664,-73.950394,-1,2,145,175
45,95,40.753231,-73.972046,-1,2,13,43
46,96,40.758888,-73.968788,-1,2,39,69
47,97,40.709099,-73.95871,-1,2,108,138
48,98,40.792446,-73.973457,-1,2,35,65
49,99,40.760807,-73.96888,-2,2,148,178
50,100,40.756992,-73.977592,-1,2,63,93
51,101,40.759468,-73.979645,-1,2,153,183
52,2,40.841221,-73.939781,1,2,48,78
53,3,40.710548,-74.01059,4,2,39,69
54,4,40.751293,-73.990257,2,2,34,64
55,5,40.764568,-73.958359,1,2,46,76
56,6,40.788525,-73.95504,1,2,144,174
57,7,40.749466,-73.9916,1,2,154,184
58,8,40.607597,-74.016747,4,2,80,110
59,9,40.760326,-73.972191,1,2,67,97
60,10,40.755028,-73.968369,1,2,30,60
61,11,40.764099,-73.95903,1,2,195,225
62,12,40.747822,-74.003807,1,2,21,51
63,13,40.766453,-73.981552,1,2,33,63
64,14,40.72287,-73.994911,1,2,203,233
65,15,40.765247,-73.978493,1,2,108,138
66,16,40.807873,-73.963966,1,2,65,95
67,17,40.722546,-74.001389,2,2,118,148
68,18,40.715096,-74.013657,1,2,32,62
69,19,40.759586,-73.971931,2,2,143,173
70,20,40.745068,-73.987938,1,2,125,155
71,21,40.723503,-73.998512,1,2,161,191
72,22,40.765739,-73.979591,1,2,29,59
73,23,40.708706,-74.011108,1,2,28,58
74,24,40.748371,-73.984749,1,2,121,151
75,25,40.744846,-73.837311,1,2,146,176
76,26,40.762539,-73.979538,1,2,60,90
77,27,40.711269,-74.009727,2,2,59,89
78,28,40.774422,-73.945473,1,2,116,146
79,29,40.734177,-73.999748,1,2,30,60
80,30,40.816895,-73.910713,1,2,152,182
81,31,40.743301,-73.989258,1,2,45,75
82,32,40.759853,-73.97982,1,2,27,57
83,33,40.746834,-73.982437,1,2,183,213
84,34,40.746841,-73.979408,1,2,178,208
85,35,40.728703,-73.984146,1,2,114,144
86,36,40.765011,-73.981514,4,2,205,235
87,37,40.855473,-73.822784,1,2,55,85
88,38,40.756321,-73.970497,1,2,36,66
89,39,40.725193,-73.994995,1,2,31,61
90,40,40.723289,-73.999214,1,2,58,88
91,41,40.70977,-74.010277,2,2,70,100
92,42,40.761906,-73.968384,1,2,42,72
93,43,40.760906,-73.974785,1,2,27,57
94,44,40.751492,-73.968727,1,2,164,194
95,45,40.719112,-74.002121,1,2,35,65
96,46,40.783344,-73.97863,1,2,58,88
97,47,40.643826,-73.790359,1,2,147,177
98,48,40.760368,-73.991295,1,2,54,84
99,49,40.709751,-74.014778,2,2,165,195
100,50,40.750755,-73.970329,1,2,82,112
101,51,40.763157,-73.977242,1,2,174,204
