in,jn,x,y,qc,tc,te,tl
2,52,40.774151,-73.874496,-1,2,21,81
3,53,40.742779,-73.980408,-1,2,87,147
4,54,40.762596,-73.965858,-1,2,40,100
5,55,40.774071,-73.873703,-4,2,81,141
6,56,40.756897,-73.998367,-1,2,11,71
7,57,40.897118,-73.908249,-1,2,74,134
8,58,40.743469,-73.919495,-1,2,28,88
9,59,40.758865,-73.996124,-1,2,101,161
10,60,40.769733,-73.863792,-1,2,80,140
11,61,40.756378,-73.998268,-1,2,11,71
12,62,40.762833,-73.961945,-1,2,20,80
13,63,40.770706,-73.863556,-1,2,93,153
14,64,40.773735,-73.870911,-1,2,20,80
15,65,40.736176,-73.998047,-1,2,49,109
16,66,40.779827,-73.948196,-2,2,101,161
17,67,40.750294,-73.992638,-1,2,16,76
18,68,40.744694,-73.933907,-1,2,122,182
19,69,40.769051,-73.982086,-2,2,73,133
20,70,40.750546,-73.991348,-1,2,19,79
21,71,40.751972,-73.943672,-1,2,14,74
22,72,40.740166,-73.994896,-1,2,69,129
23,73,40.74741,-73.993317,-1,2,144,204
24,74,40.748413,-73.97316,-1,2,142,202
25,75,40.700718,-73.987839,-1,2,117,177
26,76,40.775089,-73.961189,-1,2,33,93
27,77,40.778603,-73.954018,-1,2,153,213
28,78,40.758041,-73.975365,-1,2,10,70
29,79,40.719646,-73.990005,-1,2,4,64
30,80,40.778423,-73.958366,-1,2,18,78
31,81,40.767052,-73.993782,-1,2,12,72
32,82,40.750626,-73.976265,-1,2,128,188
33,83,40.740948,-73.98394,-1,2,21,81
34,84,40.775879,-73.956306,-1,2,14,74
35,85,40.758827,-73.98864,-1,2,11,71
36,86,40.729507,-73.984268,-1,2,88,148
37,87,40.756546,-73.997414,-1,2,11,71
38,88,40.732098,-73.995842,-2,2,6,66
39,89,40.764912,-73.980843,-1,2,123,183
40,90,40.752815,-73.993378,-1,2,92,152
41,91,40.722214,-73.988823,-2,2,42,102
42,92,40.754341,-73.977989,-1,2,142,202
43,93,40.762054,-73.968185,-1,2,113,173
44,94,40.765858,-73.983559,-1,2,12,72
45,95,40.768524,-73.955475,-1,2,12,72
46,96,40.766792,-73.952141,-1,2,31,91
47,97,40.778332,-73.962845,-1,2,143,203
48,98,40.769863,-73.960228,-1,2,16,76
49,99,40.751354,-73.993973,-2,2,131,191
50,100,40.773952,-73.954704,-1,2,61,121
51,101,40.773048,-73.960518,-1,2,88,148
52,2,40.705952,-74.0093,1,2,50,110
53,3,40.76683,-73.993866,1,2,113,173
54,4,40.715752,-74.009033,1,2,69,129
55,5,40.758568,-73.988747,4,2,127,187
56,6,40.73196,-73.991302,1,2,29,89
57,7,40.754749,-73.986481,1,2,109,169
58,8,40.741344,-73.978546,1,2,45,105
59,9,40.753616,-73.968201,1,2,120,180
60,10,40.762318,-73.976509,1,2,107,167
61,11,40.763451,-73.970268,1,2,34,94
62,12,40.744865,-73.993362,1,2,48,108
63,13,40.760906,-73.95797,1,2,116,176
64,14,40.708858,-74.00827,1,2,49,109
65,15,40.764339,-73.977226,1,2,68,128
66,16,40.733147,-74.005798,2,2,131,191
67,17,40.758667,-73.969521,1,2,40,100
68,18,40.772442,-73.958633,1,2,150,210
69,19,40.748734,-73.977203,2,2,92,152
70,20,40.777626,-73.98629,1,2,39,99
71,21,40.751972,-73.943672,1,2,31,91
72,22,40.775578,-73.983292,1,2,95,155
73,23,40.803593,-73.967255,1,2,169,229
74,24,40.763943,-73.995804,1,2,168,228
75,25,40.746323,-73.993172,1,2,146,206
76,26,40.738785,-73.987549,1,2,51,111
77,27,40.780403,-73.957657,1,2,175,235
78,28,40.78273,-73.957634,1,2,28,88
79,29,40.74966,-73.993469,1,2,28,88
80,30,40.750248,-73.99173,1,2,46,106
81,31,40.753613,-73.992615,1,2,32,92
82,32,40.768333,-73.861626,1,2,146,206
83,33,40.755726,-73.99118,1,2,38,98
84,34,40.758495,-73.977654,1,2,33,93
85,35,40.764248,-73.998978,1,2,40,100
86,36,40.773697,-73.870514,1,2,120,180
87,37,40.767136,-73.985634,1,2,29,89
88,38,40.759979,-73.979599,2,2,32,92
89,39,40.723316,-73.995514,1,2,156,216
90,40,40.761196,-73.97522,1,2,113,173
91,41,40.753887,-73.981926,2,2,62,122
92,42,40.773788,-73.870544,1,2,166,226
93,43,40.747433,-73.988449,1,2,134,194
94,44,40.749977,-74.003426,1,2,31,91
95,45,40.742699,-73.984756,1,2,29,89
96,46,40.760582,-73.97963,1,2,49,109
97,47,40.750225,-73.981697,1,2,165,225
98,48,40.751015,-73.990105,1,2,40,100
99,49,40.751827,-73.976738,2,2,148,208
100,50,40.766075,-73.990913,1,2,85,145
101,51,40.730515,-73.994652,1,2,116,176
