in,jn,x,y,q,tc,te,tl
2,52,-30.0315251,-51.1168886,-64,15,122,182
3,53,-30.0334799,-51.1174681,-86,15,71,131
4,54,-30.0990175,-51.128318,-51,15,86,146
5,55,-30.0268566,-51.2158424,-35,15,139,199
6,56,-30.0225794,-51.116073,-99,15,105,165
7,57,-29.994959,-51.0996982,-108,15,39,99
8,58,-30.0363468,-51.2083564,-97,15,40,100
9,59,-30.089402,-51.1322636,-167,15,84,144
10,60,-30.0121688,-51.1169213,-159,15,68,128
11,61,-30.0999267,-51.1278742,-68,15,35,95
12,62,-30.0141724,-51.1191919,-37,15,43,103
13,63,-30.0256598,-51.1235485,-157,15,104,164
14,64,-30.0304464,-51.2152037,-107,15,0,240
15,65,-30.1047599,-51.1417894,-134,15,0,240
16,66,-30.0357233,-51.1412992,-58,15,98,158
17,67,-30.0265592,-51.1367514,-25,15,86,146
18,68,-30.0283615,-51.102859,-34,15,68,128
19,69,-30.0332441,-51.1194328,-53,15,87,147
20,70,-30.0354335,-51.1095162,-163,15,101,161
21,71,-30.0292084,-51.2285344,-17,15,35,95
22,72,-30.0117009,-51.1124978,-46,15,53,113
23,73,-30.0258767,-51.2252936,-131,15,11,71
24,74,-30.0220803,-51.1277587,-73,15,57,117
25,75,-30.0315455,-51.1167694,-93,15,84,144
26,76,-30.0295018,-51.2289641,-148,15,47,107
27,77,-30.0368402,-51.1109282,-144,15,83,143
28,78,-30.0328109,-51.1105504,-143,15,93,153
29,79,-30.0231416,-51.1248495,-27,15,0,240
30,80,-30.0534734,-51.1499256,-85,15,108,168
31,81,-30.0492655,-51.1556288,-54,15,8,68
32,82,-30.0332916,-51.1487209,-93,15,41,101
33,83,-30.0821086,-51.1933231,-129,15,21,81
34,84,-30.0746589,-51.2253455,-62,15,17,77
35,85,-29.9901105,-51.1217984,-22,15,60,120
36,86,-30.0696385,-51.223779,-180,15,118,178
37,87,-30.0883549,-51.1846971,-35,15,53,113
38,88,-30.1549158,-51.1393846,-97,15,100,160
39,89,-29.9994322,-51.1259784,-34,15,43,103
40,90,-30.0601678,-51.2001615,-155,15,121,181
41,91,-29.9941131,-51.1065194,-20,15,85,145
42,92,-30.0349026,-51.2099811,-96,15,85,145
43,93,-30.0331678,-51.1153249,-103,15,80,140
44,94,-30.0295623,-51.2085927,-157,15,73,133
45,95,-30.0040343,-51.1952341,-123,15,82,142
46,96,-30.0120744,-51.1948579,-92,15,38,98
47,97,-30.0911458,-51.1781324,-172,15,89,149
48,98,-30.0527631,-51.1912181,-10,15,0,240
49,99,-29.9873084,-51.1979367,-15,15,61,121
50,100,-30.1234649,-51.2082238,-151,15,48,108
51,101,-30.1177275,-51.1923197,-120,15,0,240
52,2,-29.9744115,-51.2004762,64,15,162,212
53,3,-30.0318683,-51.1045804,86,15,91,151
54,4,-30.0359106,-51.1099739,51,15,120,180
55,5,-30.0302468,-51.2188867,35,15,158,218
56,6,-30.076215,-51.1691091,99,15,139,199
57,7,-30.067678,-51.1459218,108,15,75,135
58,8,-30.0333707,-51.2105272,97,15,59,119
59,9,-30.0115937,-51.0983064,167,15,120,180
60,10,-30.0318858,-51.1155732,159,15,91,151
61,11,-30.093653,-51.131986,68,15,53,113
62,12,-30.0348609,-51.1267447,37,15,64,124
63,13,-30.0099306,-51.1096614,157,15,127,187
64,14,-30.015558,-51.1412726,107,15,0,240
65,15,-30.0638668,-51.1487501,134,15,0,240
66,16,-30.1037593,-51.2352271,58,15,136,196
67,17,-30.1550769,-51.2132203,25,15,140,200
68,18,-30.0301981,-51.1473887,34,15,96,156
69,19,-30.0320061,-51.1121404,53,15,105,165
70,20,-30.0351666,-51.1192181,163,15,122,182
71,21,-30.0099651,-51.1077101,17,15,73,133
72,22,-30.0872606,-51.1314051,46,15,88,148
73,23,-30.0344304,-51.207532,131,15,35,95
74,24,-29.9960836,-51.1301101,73,15,82,142
75,25,-30.0910328,-51.1488607,93,15,121,181
76,26,-30.0277307,-51.1042873,148,15,87,147
77,27,-30.1025122,-51.2462704,144,15,126,186
78,28,-30.0992592,-51.2249842,143,15,136,196
79,29,-30.1111588,-51.1103426,27,15,0,240
80,30,-30.0331478,-51.1125405,85,15,135,195
81,31,-30.1436449,-51.2069548,54,15,50,110
82,32,-30.2038349,-51.1386048,93,15,105,165
83,33,-30.146032,-51.1447268,129,15,64,124
84,34,-29.9936609,-51.107333,62,15,61,121
85,35,-30.1177084,-51.1070756,22,15,107,167
86,36,-30.0705409,-51.2211775,180,15,135,195
87,37,-29.9888791,-51.0929119,35,15,100,160
88,38,-29.9839323,-51.131678,97,15,172,206
89,39,-30.0034584,-51.1076866,34,15,65,125
90,40,-30.1524018,-51.1453249,155,15,179,214
91,41,-29.988755,-51.1984966,20,15,119,179
92,42,-30.1612557,-51.199801,96,15,128,188
93,43,-30.0713577,-51.2159356,103,15,117,177
94,44,-30.1331991,-51.1879368,157,15,115,175
95,45,-30.1121403,-51.2338783,123,15,121,181
96,46,-30.0035872,-51.1912003,92,15,58,118
97,47,-30.0865521,-51.2401871,172,15,125,185
98,48,-30.0903624,-51.127584,10,15,0,240
99,49,-30.0761146,-51.2056751,15,15,102,162
100,50,-30.0813642,-51.2121792,151,15,73,133
101,51,-30.1856015,-51.1954403,120,15,0,240
