in,jn,x,y,qc,tc,te,tl
2,52,-30.1102734,-51.1541189,-20,15,0,51
3,53,-30.0976403,-51.2364302,-28,15,55,115
4,54,-30.0143293,-51.126089,-11,15,281,341
5,55,-30.0390649,-51.1306534,-51,15,264,324
6,56,-30.0872237,-51.1936076,-44,15,38,98
7,57,-29.9908217,-51.1203168,-58,15,216,276
8,58,-30.0117236,-51.1731238,-41,15,374,434
9,59,-30.0865868,-51.1921353,-59,15,15,75
10,60,-30.112801,-51.1543152,-46,15,0,480
11,61,-30.0679678,-51.1820709,-32,15,300,360
12,62,-30.032825,-51.1147979,-28,15,343,403
13,63,-30.0438399,-51.1272721,-12,15,113,173
14,64,-30.1006015,-51.230981,-40,15,351,411
15,65,-30.0983441,-51.1720248,-21,15,220,280
16,66,-29.9853775,-51.124867,-13,15,210,270
17,67,-30.0449481,-51.1223264,-26,15,0,57
18,68,-30.027712,-51.1048966,-29,15,50,110
19,69,-29.9865679,-51.1171063,-26,15,373,433
20,70,-30.0138499,-51.1662968,-14,15,220,280
21,71,-29.9916544,-51.122433,-46,15,104,164
22,72,-30.0914659,-51.1797356,-15,15,272,332
23,73,-30.0988185,-51.2243671,-43,15,0,480
24,74,-30.0783898,-51.1681939,-46,15,0,480
25,75,-29.9856256,-51.1199834,-59,15,376,436
26,76,-30.040883,-51.1257664,-31,15,101,161
27,77,-30.0912995,-51.1808746,-29,15,11,71
28,78,-30.0905202,-51.2411499,-27,15,369,429
29,79,-30.0424967,-51.1214687,-51,15,351,411
30,80,-30.0109013,-51.1481838,-47,15,372,432
31,81,-30.0087216,-51.1497256,-43,15,102,162
32,82,-30.0909557,-51.1806378,-11,15,208,268
33,83,-30.0234258,-51.1199727,-17,15,47,107
34,84,-30.0243249,-51.1275754,-45,15,384,444
35,85,-30.0061377,-51.1522249,-38,15,211,271
36,86,-29.9796608,-51.1258917,-20,15,395,455
37,87,-30.0933026,-51.2299682,-38,15,351,411
38,88,-30.0367473,-51.1236183,-15,15,119,179
39,89,-29.9883233,-51.1379455,-23,15,53,113
40,90,-30.0238543,-51.1555389,-52,15,299,359
41,91,-30.0096879,-51.1489733,-56,15,81,141
42,92,-29.9888147,-51.1214338,-14,15,259,319
43,93,-30.0748579,-51.1758688,-15,15,266,326
44,94,-30.1150023,-51.2437049,-54,15,317,377
45,95,-30.1122205,-51.1557201,-36,15,126,186
46,96,-30.1039004,-51.2478365,-11,15,66,126
47,97,-29.9961888,-51.1469223,-13,15,318,378
48,98,-30.0925612,-51.2403464,-30,15,177,237
49,99,-30.0857878,-51.1895005,-16,15,0,54
50,100,-30.0438766,-51.1355399,-34,15,130,190
51,101,-30.0878682,-51.2405073,-28,15,199,259
52,2,-30.1090083,-51.1443555,20,15,27,87
53,3,-30.1085654,-51.244946,28,15,134,194
54,4,-30.0372617,-51.135538,11,15,303,363
55,5,-30.0404719,-51.1243008,51,15,282,342
56,6,-30.0811429,-51.1939559,44,15,60,120
57,7,-29.9912529,-51.1079438,58,15,295,355
58,8,-30.0069017,-51.1510139,41,15,395,455
59,9,-30.0819275,-51.1755428,59,15,47,107
60,10,-30.1136663,-51.1542844,46,15,0,480
61,11,-30.0798731,-51.1744965,32,15,322,382
62,12,-30.0361392,-51.1554367,28,15,368,428
63,13,-30.0385906,-51.1087589,12,15,134,194
64,14,-30.0921921,-51.2422919,40,15,371,431
65,15,-30.0725953,-51.155528,21,15,256,316
66,16,-29.9954885,-51.1064031,13,15,293,353
67,17,-30.0407566,-51.1257803,26,15,19,79
68,18,-30.0188006,-51.1212157,29,15,71,131
69,19,-29.9837751,-51.1200807,26,15,392,452
70,20,-30.0134361,-51.1731919,14,15,238,298
71,21,-29.9926604,-51.1199431,46,15,122,182
72,22,-30.091818,-51.176283,15,15,292,352
73,23,-30.0615916,-51.2304473,43,15,0,480
74,24,-30.0911257,-51.1802719,46,15,0,480
75,25,-29.9795585,-51.1303998,59,15,396,456
76,26,-30.0336919,-51.1198262,31,15,119,179
77,27,-30.0861378,-51.1922399,29,15,31,91
78,28,-30.0900222,-51.2293866,27,15,389,449
79,29,-30.0350403,-51.1192076,51,15,370,430
80,30,-30.0080954,-51.1712002,47,15,394,454
81,31,-30.0074427,-51.1647185,43,15,121,181
82,32,-30.0904217,-51.1812887,11,15,224,284
83,33,-30.0358157,-51.1200077,17,15,65,125
84,34,-30.042497,-51.1276646,45,15,406,466
85,35,-29.9952646,-51.1319885,38,15,235,295
86,36,-30.0014834,-51.1262162,20,15,417,463
87,37,-30.1002068,-51.2398054,38,15,371,431
88,38,-30.041138,-51.1425055,15,15,139,199
89,39,-30.0009082,-51.1000308,23,15,80,140
90,40,-29.9932021,-51.1468601,52,15,386,446
91,41,-30.0047015,-51.161136,56,15,101,161
92,42,-29.9842615,-51.1363071,14,15,279,339
93,43,-30.0737132,-51.1784603,15,15,284,344
94,44,-30.1012563,-51.2463758,54,15,337,397
95,45,-30.1139315,-51.153763,36,15,144,204
96,46,-30.0928561,-51.2377204,11,15,86,146
97,47,-30.0033639,-51.1593272,13,15,338,398
98,48,-30.1067544,-51.2447523,30,15,199,259
99,49,-30.0818666,-51.1993592,16,15,19,79
100,50,-30.1158879,-51.1811601,34,15,172,232
101,51,-30.0952601,-51.2280497,28,15,220,280
