in,jn,x,y,q,tc,te,tl
2,0,41,49,10,10,161,171
3,0,35,17,7,10,50,60
4,0,55,45,13,10,116,126
5,0,55,20,19,10,149,159
6,0,15,30,26,10,34,44
7,0,25,30,3,10,99,109
8,0,20,50,5,10,81,91
9,0,10,43,9,10,95,105
10,0,55,60,16,10,97,107
11,0,30,60,16,10,124,134
12,0,20,65,12,10,67,77
13,0,50,35,19,10,63,73
14,0,30,25,23,10,159,169
15,0,15,10,20,10,32,42
16,0,30,5,8,10,61,71
17,0,10,20,19,10,75,85
18,0,5,30,2,10,157,167
19,0,20,40,12,10,87,97
20,0,15,60,17,10,76,86
21,0,45,65,9,10,126,136
22,0,45,20,11,10,62,72
23,0,45,10,18,10,97,107
24,0,55,5,29,10,68,78
25,0,65,35,3,10,153,163
26,0,65,20,6,10,172,182
27,0,45,30,17,10,132,142
28,0,35,40,16,10,37,47
29,0,41,37,16,10,39,49
30,0,64,42,9,10,63,73
31,0,40,60,21,10,71,81
32,0,31,52,27,10,50,60
33,0,35,69,23,10,141,151
34,0,53,52,11,10,37,47
35,0,65,55,14,10,117,127
36,0,63,65,8,10,143,153
37,0,2,60,5,10,41,51
38,0,20,20,8,10,134,144
39,0,5,5,16,10,83,93
40,0,60,12,31,10,44,54
41,0,40,25,9,10,85,95
42,0,42,7,5,10,97,107
43,0,24,12,5,10,31,41
44,0,23,3,7,10,132,142
45,0,11,14,18,10,69,79
46,0,6,38,16,10,32,42
47,0,2,48,1,10,117,127
48,0,8,56,27,10,51,61
49,0,13,52,36,10,165,175
50,0,6,68,30,10,108,118
51,0,47,47,13,10,124,134
52,0,49,58,10,10,88,98
53,0,27,43,9,10,52,62
54,0,37,31,14,10,95,105
55,0,57,29,18,10,140,150
56,0,63,23,2,10,136,146
57,0,53,12,6,10,130,140
58,0,32,12,7,10,101,111
59,0,36,26,18,10,200,210
60,0,21,24,28,10,18,28
61,0,17,34,3,10,162,172
62,0,12,24,13,10,76,86
63,0,24,58,19,10,58,68
64,0,27,69,10,10,34,44
65,0,15,77,9,10,73,83
66,0,62,77,20,10,51,61
67,0,49,73,25,10,127,137
68,0,67,5,25,10,83,93
69,0,56,39,36,10,142,152
70,0,37,47,6,10,50,60
71,0,37,56,5,10,182,192
72,0,57,68,15,10,77,87
73,0,47,16,25,10,35,45
74,0,44,17,9,10,78,88
75,0,46,13,8,10,149,159
76,0,49,11,18,10,69,79
77,0,49,42,13,10,73,83
78,0,53,43,14,10,179,189
79,0,61,52,3,10,96,106
80,0,57,48,23,10,92,102
81,0,56,37,6,10,182,192
82,0,55,54,26,10,94,104
83,0,15,47,16,10,55,65
84,0,14,37,11,10,44,54
85,0,11,31,7,10,101,111
86,0,16,22,41,10,91,101
87,0,4,18,35,10,94,104
88,0,28,18,26,10,93,103
89,0,26,52,9,10,74,84
90,0,26,35,15,10,176,186
91,0,31,67,3,10,95,105
92,0,15,19,1,10,160,170
93,0,22,22,2,10,18,28
94,0,18,24,22,10,188,198
95,0,26,27,27,10,100,110
96,0,25,24,20,10,39,49
97,0,22,27,11,10,135,145
98,0,25,21,12,10,133,143
99,0,19,21,10,10,58,68
100,0,20,26,9,10,83,93
101,0,18,18,17,10,185,195
